fatuous
petulant
mundane
misshapen
dreary
degrading
indiscreet
drunken
bald
unkempt
decrepit
malevolent
grotesque
bad
poor
old
insane
weird
strange
disgusting
creepy
criminal
sickening
lazy
unattractive
uncool
unintelligent
dumb
useless
trash
abominable
bigheaded
bitter
conceited
gutless
lousy
revolting
despicable
foolish
terrible
atrocious
awful
cheap
crummy
dreadful
unacceptable
careless
deficient
defective
crappy
